EmployeeID,PayPeriod,GrossPay,NetPay,Taxes,HoursWorked
E0001,01/11/2024,20,060,11580.69,8,478.98
E0002,01/11/2024,8655,7222.53,1432.47,110
E0003,01/11/2024,8455.08,6402.57,2052.51
E0004,01/11/2024,1362.4,1301.09,61.31,80
E0001,01/12/2024,20,060,11580.69,8,478.98
E0002,01/12/2024,8655,7222.53,1432.47,110
E0003,01/12/2024,8455.08,6402.57,2052.51
E0004,01/12/2024,1362.4,1301.09,61.31,80
E0001,01/01/2025,20,060,11580.69,8,478.98
E0002,01/01/2025,8655,7222.53,1432.47,110
E0003,01/01/2025,8455.08,6402.57,2052.51
E0004,01/01/2025,1362.4,1301.09,61.31,80
